Job Title,Requirements
Pipefitter job description,Proven experience as a pipefitter; Knowledge of health and safety guidelines when dealing with dangerous equipment or chemicals; Good numerical and problem-solving skills; Attention to detail; Strong communication skills; Ability to lift up to 50lbs; Ability to work in shifts and/or overtime; Valid license
Roofer job description,"Experience as a roofer or a similar role in construction; Excellent carpentry skills; Experience using various hand tools and equipment, such as scaffolds, taking safety rules into consideration; Physical strength and good balance; Ability to work at heights for long hours; An apprenticeship or license in roofing or relevant field is a plus"
Electronic technician job description,Previous experience as electronic technician or similar role; Hands-on experience with electronic testing and circuitry; Familiarity working with various tools and equipment; MS Office and diagnostic software (e.g. PC-based); Excellent physical condition and hand-eye coordination; An associate’s degree or apprenticeship as electronic technician; Certification in engineering or electronics is required
Construction Superintendent job description,"Previous experience as a construction superintendent or in a similar role; Knowledge of local quality, safety, and health guidelines for construction job sites; In-depth understanding of construction operations and processes; Familiarity with CAD software; Proficiency in MS Office; Organizational and time-management skills; Ability to lead and inspire; Degree in Engineering, Construction Management, or similar field; Master’s degree is a plus"
Geologist job description,"Proven experience as a geologist; Experience with various geological techniques like mining, boring and numerical modeling; Experience using geology software (e.g. ArcGIS, Rockware) and other data and modeling tools (e.g. Adobe Illustrator, GoCAD); Familiarity with environmental regulations; Good knowledge of the attributes of ores, soil, minerals and other materials; Ability to handle and analyze data and 3D models; An analytical mind; Attention to detail; Great communication skills (oral and written); Organizational and teamwork ability; Degree in Geology or Geoscience"
Test Engineer job description,"Previous experience as a Test Engineer or similar role; Familiarity with various testing techniques; Hands-on experience with Quality Management Systems (QMS); Knowledge of quality standards and regulations; Great troubleshooting skills; Analytical mindset; BSc in Mechanical Engineering, Industrial Engineering or relevant field; Additional certification in Quality Assurance is a plus"
Quality Engineer job description,"Previous work experience as a Quality Engineer or similar role; Hands-on experience with Quality Management Systems (QMS) and testing methodologies; In-depth understanding of technical documentation; Familiarity with statistical analysis; Great attention to detail and problem-solving abilities; Team spirit; Good analytical skills; BSc in Mechanical Engineering, Industrial Engineering or relevant field; Additional certification in Quality Assurance is a plus"
General Laborer job description,"Ability to meet the physical demands of the job (standing for long periods of time, lifting heavy loads of up to 40 pounds etc.); Good hand-eye coordination; Familiarity with power tools and machinery is a plus; Communication and teamwork skills; Commitment to safety rules; Apprenticeship or specialization is an asset, but not necessary"
Millwright job description,Proven experience as a Millwright or in a similar role; Hands-on experience with construction equipment and machinery; Availability to travel regularly to different sites; Strong communication and computational skills; An eye for detail; Team spirit; Certification as a Millwright based on national standards
Construction Manager job description,"Proven working experience in construction management; Advanced knowledge of construction management processes, means and methods; Expert knowledge of building products, construction details and relevant rules, regulations and quality standards; Understanding of all facets of the construction process; Familiarity with construction management software packages; Ability to plan and see the “big picture”; Competent in conflict and crisis management; Leadership and human resources management skills; Excellent time and project management skills; BS degree in construction management, architecture, engineering or related field"
Architect job description,"Proven working experience as an Architect; Strong portfolio to prove artistic skills; Expert knowledge of building products, construction details and relevant rules, regulations and quality standards; Excellent drawing skills and familiarity with design software (Adobe Photoshop, SketchUp, 3d Studio VIZ or similar); Strong imagination and the ability to think and create in three dimensions; Visual awareness and an eye for detail; Communication and project management skills; BS degree in Architecture"
Estimator job description,"Proven experience asestimatoror similar position; Familiarity with financial and project management principles; In depth knowledge of research and data analysis methods and estimation formulas; Exquisite math and IT ability with an analytical mindset; Proficient in relevant software (Timberline, HCSS HeavyBid); Outstanding communication and negotiation abilities; Thoroughness and reliability; Excellent organizational skills; BSc/BA in engineering, construction science or relevant discipline; Certified Professional Estimator (CPE) will be an asset"
Construction Expeditor job description,Proven experience asconstruction expeditoror relevant position; Experience in project management; Ability to understand technical specifications of material and equipment; Proficient in MS Office (especially Excel) and filing systems; Excellent communication and negotiation skills; Well-organized with multi-tasking abilities; Apt in problem-solving; High school diploma is preferred
Construction Worker job description,"Proven experience as construction worker; Experience in operating equipment like trench rammers, drills, pneumatic hammers etc.; Knowledge of mixing and pouring construction material (concrete, sand, grout etc.); Knowledge of basic engineering and construction principles and methods; Able to work in a team; Able to read instructions and blueprints when needed; Very good knowledge of English (spoken and written); Excellent balance and eye-hand coordination; High school diploma or equivalent"
Construction Foreman job description,"Proven experience as construction foreman; In-depth knowledge of construction procedures, equipment and OSH guidelines; Understanding of electrical and hydraulic systems; Ability to read drawings, plans and blueprints; Excellent organizational and leadership skills; Ability to communicate and report effectively; Aptitude in math; Problem-solving abilities; Good physical condition and stamina; High school diploma or diploma in a skilled trade (electrician, carpenter etc.)"
Construction Project Manager job description,"Proven experience as construction project manager; In-depth understanding of construction procedures and material and project management principles; Familiarity with quality and health and safety standards; Good knowledge of MS Office; Familiarity with construction/ project management software; Outstanding communication and negotiation skills; Excellent organizational and time-management skills; A team player with leadership abilities; BSc/BA in engineering, building science or relevant field; PMP or equivalent certification will be an advantage"
Construction Estimator job description,"Proven experience as construction estimator; Basic understanding of accounting and project management concepts; Deep understanding of research methodology, data analysis and estimation metrics; Comfortable with numbers and technology; Excellent knowledge of software like Timberline or HCSS HeavyBid; Great attention to detail; Excellent communication and negotiation abilities; Well-organized and reliable; BSc/BA in engineering, construction science or relevant field; Certified Professional Estimator (CPE) or other qualification will be a plus"
Welder job description,"Proven experience as welder; Experience using a variety of welding equipment and procedures (TIG, MMA etc.); Experience in using electrical or manual tools (saws, squares, calipers etc.); Ability to read and interpret technical documents and drawings; Knowledge of relative safety standards and willingness to use protective clothing (face-shield, gloves etc.); Deftness and attention to detail; Proficient in English; Successful completion of a relevant apprenticeship program is required; Professional Certification (e.g. an AWS welding certificate) will be a plus"
Plumber job description,"Proven experience as a plumber; Solid understanding of water distribution and disposal systems in residential, commercial and industrial buildings; Working knowledge of heating and ventilation systems as well as appliances; Ability to handle plumbing tools and equipment (pipe wrenches, pipe cutters, plungers etc.); Good communication and interpersonal skills; Friendly with a great deal of patience; Good physical condition and strength with the ability to work in awkward spaces; Diploma from a trade school or successful completion of apprenticeship; Valid license to practice profession"
Painter job description,"Proven experience as a painter; Excellent knowledge of painting material and how to select, mix and apply them; Solid knowledge of commercial and/or construction painting techniques; Aptitude in using appropriate tools (brushes, caulking guns etc.); Good basic math skills; Manual dexterity with excellent balance to work on scaffolding, ladders etc.; Conscientious with great attention to detail; High school diploma; successful completion of an apprenticeship"
Electrician job description,"Proven experience as an electrician; Experience in industrial and/or commercial electrical systems; Demonstrable ability to use electrical and hand tools (e.g. wire strippers, voltmeter etc.) and electrical drawings and blueprints; Thorough knowledge of safety procedures and legal regulations and guidelines; Excellent critical thinking and problem-solving ability; Excellent physical condition and flexibility to work long shifts and overnight; Diploma in relevant vocational training or successfully completed apprenticeship as an electrician; Valid license to practice profession"
Carpenter job description,"Proven experience as carpenter; Hands-on experience in working with carpentry materials; Excellent understanding of carpentry techniques and methods of installation and construction; Proficient in using electrical and manual equipment and measurement tools (powered saws, hammers, rulers etc.); Ability to read technical documents and drawings; Willingness to follow safety guidelines at all times; Good knowledge of English; Good understanding of basic math; Good physical condition and endurance; High school diploma; Successful completion of a carpentry apprenticeship program is required"
Press Operator job description,Proven work experience as a Press Operator or similar role; Proficiency in operating heavy machinery; Ability to interpret and understand complex documents; Keen attention to detail; Relevant training and/or certifications as a Press Operator
Product Analyst job description,Proven work experience as a Product Analyst or similar role; Proficient in database software; Strong communication skills; The ability to work under pressure and adapt to change; Relevant training and/or certifications as a Product Analyst
Fabricators job description,Proven work experience as a Fabricator or similar role; Proficiency in operating heavy machinery; Excellent eyesight and color vision; Good dexterity; Attention to detail; Good organizational skills; Relevant training and/or certifications as a Fabricator
Car Detailer job description,"Proven work experience as a Car Detailer or similar role; Attention to detail with excellent customer service, communication, and interpersonal skills; Ability to meet the physical demands of the position, including walking, crouching, bending, and standing for extended periods; Willingness to comply with all company policies and uphold standards for service quality; Availability to work weekends and holidays; Relevant training and/or certifications as a Car Detailer"
Music Producer job description,"Proven work experience as a Music Producer or similar role; Musical talent and experience, typically gathered from past experiences as a musician; Strong technical knowledge of music and recording; Networking and interpersonal skills (required for meeting key people in the industry); The ability to operate studio equipment and use sound editing software; Management expertise; Familiarity with the latest industry developments; Relevant training and/or certifications as a Music Producer"
Quality Assurance Specialist job description,"Proven work experience as a Quality Assurance Specialist or similar role; Working knowledge of tools, methods and concepts of quality assurance; Solid knowledge of relevant regulatory standards; Good communication skills, both verbal and written; Excellent data collection and analysis skills; Strong attention to detail; Relevant training and/or certifications as a Quality Assurance Specialist"
Production Coordinator Job Description,Proven work experience as a Production Coordinator or similar role; Excellent time management skills; Ability to multitask; Prior experience in the film industry; Strong communication skills; Flexible work hours; Experience with administrative tasks; Relevant training and/or certifications as a Production Coordinator
Operations Analyst job description,"Proven work experience as an Operations Analyst or similar role; Excellent communication skills, both verbal and written; Experience using statistical and database software; Consulting and project management expertise; Strong analytical and problem-solving skills; Degree in Business Administration or equivalent is preferred"
Warehouse Clerk job description,Proven work experience as a Warehouse Clerk or similar role; Prior experience working in a warehouse; Attention to detail; Excellent organizational skills; Ability to operate forklifts and other heavy machinery; A high school diploma or equivalent is preferred
Stock Clerk job description,"Proven work experience as a Stock Clerk or similar role; An understanding of stock management terminology, such as receiving, inventory and shelving; Basic knowledge of using an ERP system may be beneficial; Excellent customer service abilities; A friendly and hard-working disposition; A high school diploma or equivalent preferred"
Assembly Technician job description,Proven work experience as an Assembly Technician or similar role; Good eye-hand coordination to construct small parts and pieces into a final product; The ability to use various hand tools to produce a final product; Ability to follow instructions and diagrams as delivered for each product; High school diploma and related training preferred
Shipping Clerk job description,Proven work experience as a Shipping Clerk or similar role; Ability to lift items and containers; Flexibility to work different hours throughout the week as needed; Ability to multitask and pay close attention to detail in a fast-paced environment; A high school qualification or equivalent is preferred
Maintenance mechanic job description,"Previous experience as a maintenance mechanic or similar role; Great understanding of pneumatics, hydraulics, and mechanics; Familiarity using various power and hand tools, such as hosts and grinders; Ability to stand for long hours and lift heavy loads; Problem-solving and organizational skills; Degree in engineering or manufacturing; A driver’s license is a plus"
Production Worker job description,Previous experience asa production worker or similar role in a warehouse; Good understanding of how production equipment works; Ability to detect potential problems with machinery; Knowledge of basic safety rules and precautionary measures  (safety gear will be provided); Ability to lift heavy loads and transfer them manually; Good communication and teamwork skills; High School Diploma/GED
Master grower job description,"Proven experience as a grower, preferably at a large scale; some management experience required; Knowledge of the entire cannabis growth cycle and requirements; Familiarity with environment protection practices and the marijuana legal framework in our area; Understanding of pest and disease management techniques; Willingness to continue learning about horticulture and cannabis farming, and stay on top of current and future trends; Problem-solving aptitude; Leadership and people management skills; Ability to meet the physical demands of the job; Degree in Botany, Biology, Agriculture, Horticulture or relevant field is a plus"
Quality Manager job description,Proven experience as quality manager; Conscientious and responsible; A keen eye for detail and a results driven approach; Outstanding communication skills; Excellent organizational and leadership skills; Proficient in MS Office; In depth understanding of quality control procedures and relevant legal standards; Excellent math abilities and working knowledge of data analysis/statistical methods; BSc/ Ba in business administration or relevant field; Certification of quality control is a strong advantage (ISO 9000 etc.)
Quality Inspector job description,Proven experience as quality inspector or relevant role; A keen eye for detail and a results-driven approach; Responsible and trustworthy; Familiarity with quality testing machines and systems; Thorough knowledge of quality control standards and testing methodologies; Certification of quality control is a strong advantage (ISO 9000 etc.); Working knowledge of MS Office; High School Degree; Further qualifications will be a plus
Manager of Quality Assurance job description,Proven experienceas a quality assurance manager or relevant role; Thorough knowledge of methodologies of quality assurance and standards; Excellent numerical skills and understanding of data analysis/statistical methods; Good knowledge of MS Office and databases; Outstanding communication skills; Great attention to detail and a results driven approach; Excellent organizational and leadership abilities; Reliable and Trustworthy; BSc/BA in business administration or relevant field; Certification of quality control is a strong advantage (ISO 9000 etc.)
Mechanic job description,"Proven experience as Mechanic; Excellent knowledge of machinery and hydraulic, electrical and other systems and their components; Aptitude in using various hand tools (screwdrivers, hammers etc.) and precision measurement tools (e.g. calipers); Ability to follow established procedures and practices and read instruction, blueprints etc.; A strong commitment to all health and safety guidelines; Very good communication skills; A problem-solving ability; Very good physical strength and stamina; High school diploma is preferred; Certification from a vocational school or completion of apprenticeship is a definite plus; Valid certification (e.g ASE) is preferred"
Machinist job description,"Proven experience as machinist; Experience in using and/or programming manual, semi-automated or automated tools and machines (lathes, grinders etc.); Ability to use precision tools (e.g. calipers) to take accurate measurements; Knowledge of the properties of metal and other material; Ability to read blueprints, schematics and manuals; Good at math with analytical abilities; Physical stamina and strength to lift heavy items; High school diploma or equivalent; completion of vocational training or an apprenticeship will be an asset"
Machine Operator job description,"Proven experience as amachine operator; Working knowledge of diverse high-speed machinery and measurement tools (caliper, micrometer etc.); Understanding of production procedures; Adherence to health and safety regulations (e.g. constant use of protective gear); Ability to read blueprints, schematics and manuals; Analytical skills; Attention to detail; Teamwork and communication skills; Physical stamina and strength; High school diploma or equivalent; technical degree is a plus"
Production Planner job description,Proven experience as production planner; Excellent knowledge of production planning and quality control principles; Experience in MRP II (Manufacturing resource planning); Working knowledge of MS Office and ERP systems; Good at math and statistics; Strong organizational and problem-solving skills; Excellent communication abilities; High school diploma; Further education or certification is preferred
Production Manager job description,Proven experience as production director; Deep knowledge of production management; Understanding of quality standards and health & safety regulations; Knowledge of performance evaluation and budgeting concepts; Experience in reporting on key production metrics; Proficient in MS Office and ERP software; Outstanding communication ability; Excellent organizational and leaderships skills; Attention to detail; Strong decision-making skills and a results-driven approach; BSc/Ba in business administration or relevant field is preferred
Production Supervisor job description,"Proven experience as Production Supervisor or similar role; Experience in using various types of manufacturing machinery and tools; Advanced skills in MS Office; Organizational and leadership abilities; Communication and interpersonal skills; Self-motivated with a results-driven approach; Problem-solving skills; High School Diploma; Degree in a technical, engineering or relevant field will be an advantage"
Assembler job description,"Proven experience as assembler; Technical knowledge and ability to read blueprints, drawings etc.; Ability in using tools (e.g. clamps) and machines (e.g. presses); Good understanding of quality control principles; Good communication skills (verbal and written); Excellent hand-eye coordination and physical condition; High school diploma; Higher degree from a technical school will be appreciated"
CNC Operator job description,Proven experience as CNC operator; Skill in operating CNC machinery and tooling as well as precision measurement tools; Ability to read and interpret mechanical documents and drawings; Computer savvy with basic understanding of computer programming and CAD/CAM; Mechanical aptitude and good math skills; A keen eye for detail and results-driven approach; Good communication abilities; High school diploma or equivalent; certificate or diploma in engineering or relevant discipline is a plus; Successfully completed apprenticeship is required
Veterinary Technician job description,Proven work experience as a Veterinary Technician or similar role; Strong affinity for animals; Outstanding people skills; Ability to multitask in a dynamic environment; Relevant training and/or certifications as a Veterinary Technician
Unit Clerk job description,Proven work experience as a Unit Clerk or similar role; Advanced knowledge of medical terminology; A pleasant and audible telephone manner; Good understanding of office procedures and equipment; Relevant training and/or certifications as a Unit Clerk
Psychiatric Technician job description,"Proven work experience as a Psychiatric Technician or similar role; Knowledge of crisis intervention techniques; Ability to interact with students, faculty and/or staff in a team environment; Ability to maintain quality, safety, and/or infection control standards; Relevant training and/or certifications as a Psychiatric Technician"
Resident Assistant job description,Proven work experience as a Resident Assistant or similar role; Strong problem-solving skills; Excellent leadership and public speaking abilities; Proven organization and logistical skills; Relevant training and/or certifications as a Resident Assistant
Referral Coordinator job description,Proven work experience as a Referral Coordinator or similar role; Strong customer service focus; Effective verbal and written communication skills; Teamwork orientation; Relevant training and/or certifications as a Referral Coordinator
Recreation Therapist job description,Proven work experience as a Recreational Therapist or similar role; Multi-tasking abilities; Ability to remain objective and decisive in difficult situations; Expert assessment skills; Strong organizational abilities
Genetic Counselor job description,"Proven work experience as a Genetic Counselor or similar role; Ability to apply counseling methods and techniques; Ability to effectively communicate medical information, test results, diagnoses and/or proposed treatment in a manner easily understood by the client; Knowledge of human genetic disorders and birth defects; Ability to use independent judgment and to manage and impart confidential information; Ability to counsel patients and/or families in life management and coping skills; Relevant training and/or certifications as a Genetic Counselor"
Cardiovascular Perfusionist job description,Proven work experience as a Cardiovascular Perfusionist or similar role; Graduate of an Accredited Perfusion Technology Program or approved program of Extracorporeal Technology; Certification through the American Board of Cardiovascular Perfusion to become a certified clinical Cardiovascular Perfusionist (CCP); Relevant training and/or certifications as a Cardiovascular Perfusionist
Human Services Worker job description,Proven work experience as a Human Services Worker or similar role; Experience working with social programs to assist individuals as needed; Relevant training and/or certifications as a Human Services Worker
Hospital Social Worker job description,"Proven work experience as a Hospital Social Worker or similar role; Excellent communication skills, including ability to explain medical concepts to patients in understandable language; Compassionate demeanor with patients of all ages and conditions; Strong organizational and time-management skills; Relevant training and/or certifications as a Hospital Social Worker"
Patient Sitter job description,Proven work experience as a Patient Sitter or similar role; Ability to handle emotionally distressing situations; Professional appearance and excellent hygiene; Ability to act calmly and swiftly under pressure; Relevant training and/or certifications as a Patient Sitter
Nursing Educator job description,"Proven work experience as a Nurse Educator or similar role; A working knowledge of the theories of education and learning to design curricula; Current working knowledge of clinical procedures and protocols; Excellent communication, critical thinking, and leadership skills; Relevant training and/or certifications as a Nurse Educator"
Child Life Specialist job description,"Proven work experience as a Child Life Specialist or similar role; Bachelor’s degree in child life studies (or a related field such as child development, child and family studies, psychology, or early childhood education); Education requirements as determined from the Association of Child Life Professionals (ACLP); Previous experience working with children; Relevant training and/or certifications as a Child Life Specialist"
Peer Support Specialist job description,Proven work experience as a Peer Support Specialist or similar role; Excellent verbal and written communication skills; Highly compassionate and attentive to details; The ability to be on call for emergencies and work on weekends and public holidays; Relevant training and/or certifications as a Peer Support Specialist
Oncologist job description,"Proven work experience as an Oncologist or similar role; A thorough and up-to-date working knowledge of cancers and cancer treatment options; Technical skills to operate medical equipment and tools related to cancer treatment; Strong communication, interpersonal, and leadership skills; Relevant training and/or certifications as an Oncologist"
Physiatry job description,Proven work experience as a Physiatrist or similar role; Working knowledge of different types of rehabilitation treatments and programs for different disabilities; Exceptional attention to detail; Outstanding hand-eye coordination and dexterity; Wonderful bedside manner; Relevant training and/or certifications as a Physiatrist
Neonatology job description,Proven work experience as a Neonatologist or similar role; A willingness to work long hours and remain on-call for emergency situations; The ability to work under pressure and stress; Strong communication skills and patience and empathy towards patients and their families; Strong dedication and motivation for helping newborn infants; Relevant training and/or certifications as a Neonatologist
Medical Records Clerk job description,Proven work experience as a Medical Records Clerk or similar role; Advanced understanding of medical terminology and administration processes; Proficient in information management programs and MS Office; Outstanding communication and interpersonal abilities; Strong attention to detail with excellent organizational skills; Relevant training and/or certifications as a Medical Records Clerk
Mental Health Therapist job description,Proven work experience as a Mental Health Therapist or similar role; Excellent communication skills; Empathy for clients; Confidentiality with client information; Relevant training and/or certifications as a Mental Health Therapist
Gastroenterology job description,"Proven work experience as a Gastroenterologist or similar role; Expertise in performing endoscopic and colonoscopy procedures; Proficiency with X-Rays, MRIs, and ultrasound scanning; Excellent written and verbal communication skills; Relevant training and/or certifications as a Gastroenterologist"
Medical Surgical Nursing job description,"Proven work experience as a Medical-Surgical Nurse or similar role; In-depth knowledge of best practices in medical-surgical nursing; Exceptional analytical, organizational, and problem-solving skills; Superb interpersonal, communication, and collaboration abilities; Relevant training and/or certifications as a Medical-Surgical Nurse"
Care Manager job description,"Proven work experience as a Care Manager or similar role; Proficient with Healthcare Management Systems and Microsoft Office Word and Excel; Outstanding communication skills, both written and verbal; Excellent organizational skills; Ability to travel locally; Relevant training and/or certifications as a Care Manager"
Patient Access Representative job description,Proven work experience as a Patient Access Representative or similar role; Strong administrative and organizational skills; Excellent communication and interpersonal skills; Proficiency in Microsoft Office and data entry systems; Ability to multitask and maintain strong attention to detail; Compassionate and patient; Relevant training and/or certifications as a Patient Access Representative
Forensic Pathologist job description,Proven work experience as a Forensic Pathologist or similar role; Experience using lab testing equipment; Working knowledge of applicable laws and statutes governing forensic services; Exceptional analytical and research skills; Relevant training and/or certifications as a Forensic Pathologist
Credential Specialist job description,Proven work experience as a Credentialing Coordinator or similar role; Excellent verbal and written communication skills; Expertise with Microsoft Office Word and Excel; Proficient touch-typing skills; Ability to focus for extended periods; Relevant training and/or certifications as a Credentialing Coordinator
Counseling Psychology job description,Proven work experience as a Counseling Psychologist or similar role; Strong observational skills and attention to detail; Exceptional interpersonal skills; Excellent written and verbal communication; Empathy and sensitivity when dealing with patients; Highly analytical mindset; Good diagnostic and problem-solving skills; Relevant training and/or certifications as a Counseling Psychologist
BCBA job description,"Proven work experience as a BCBA or similar role; Knowledge of appropriate referral procedures; Excellent verbal and report writing skills; Calm, empathic, and patient nature; The ability to remain composed and adherent to best practices, even when under duress; Relevant training and/or certifications as a BCBA"
ABA Therapist job description,"Proven work experience as an ABA Therapist or similar role; Experience working with patients suffering from Autism and development issues; Expertise in working with children; Strong communication, time-management, and organizational skills; Relevant training and/or certifications as an ABA Therapist"
Nursing Assistant job description,Proven work experience as a Nursing Assistant or similar role; Excellent attention to detail; Great written and verbal communication; Ability to carefully read and follow directions; Flexibility in work duties and schedule; Good teamwork skills; Ability to lift and move patients; Good foundation of clinical skills and knowledge; Relevant training and/or certifications as a Nursing Assistant
Speech Pathologist job description,"Proven work experience as a Speech Pathologist or similar role; Experience with certain conditions or working with specific age groups may be preferred; Strong understanding of speech-related conditions, causes and treatments; Excellent coaching, verbal and written communication skills; Proficiency with computers, especially patient and healthcare databases; Attentive and caring with the ability to develop individualized education plans (IEPs); Relevant training and/or certifications as a Speech Pathologist"
Sterile Processing Technician job description,"Proven work experience as a Sterile Processing Technician or similar role; Strong attention to detail, vigilance and meticulous care on the job; Passion for keeping people safe; Good judgment and critical-thinking skills; Manual dexterity and the ability to handle fragile equipment; Technical skills and familiarity with sterilization techniques; The ability to work well in a team or independently; Relevant training and/or certifications as a Sterile Processing Technician"
Clinical Coordinator job description,"Proven work experience as a Clinical Coordinator or similar role; Innovative thinker with strong conceptual and problem-solving skills; Meticulous attention to detail with the ability to multitask; Strong organizational, administrative and planning skills; Expertise in working under pressure and reacting effectively to emergency situations; Ability to work both independently and as part of a team; Relevant training and/or certifications as a Clinical Coordinator"
ER Tech job description,"Proven work experience as an ER Tech or similar role; Basic medical assessment skills, such as venipuncture, CPR and EKG monitoring; Excellent critical thinking skills and the ability to navigate stressful situations; The ability to work well with a variety of patients, doctors, nurses and administrative staff; The expertise required to translate complex medical jargon into accessible terms for patients; An aptness for caregiving and compassion for patients; Relevant training and/or certifications as an ER Tech"
General Surgeon job description,"Proven work experience as a General Surgeon or similar role; Fantastic manual dexterity, hand-eye coordination and visuospatial awareness; Superb organizational and time management skills; Excellent decision-making skills and communication; Ability to work under pressure in a fast-paced environment; Emotionally resilient with the ability to make patients feel at ease; Great management and leadership skills; Relevant training and/or certifications as a General Surgeon"
Health Educator job description,"Proven work experience as a Health Educator or similar role; Extensive experience in collecting and analyzing data, as well as formulating objectives; Advanced ability to plan, implement, monitor, and evaluate health education programs; Ability to develop educational materials and aids which promote and present health education initiatives; Exceptional ability to achieve sustainable health education program results; Relevant training and/or certifications as a Health Educator"
Family Nurse Practitioner job description,Proven work experience as a Family Nurse Practitioner or similar role; Clinical training in family medicine; Minimum of 3 years experience; Excellent interpersonal and communication skills; Computer literacy; Relevant training and/or certifications as a Family Nurse Practitioner
Biologist job description,"Proven work experience as a Biologist or similar role; Strong understanding of biology, chemistry and laboratory equipment and procedures; Ability to work independently or with a team; Willingness to travel to locations to conduct research; Exceptional verbal and written communication skills; Proficiency with computers, especially scientific databases; Relevant training and/or certifications as a Biologist"
ICU Nurse job description,Proven work experience as an ICU Nurse or similar role; Good understanding of health information structures and technology; Available to work 12-hour day and night shifts; Demonstrate brilliant empathy and communication skills; Relevant training and/or certifications as an ICU Nurse
Sonographer job description,"Proven work experience as a Sonographer or similar role; Strong technical, communication, interpersonal and patient service skills; The ability to explain technical terms in a clear and understandable way; Excellent eyesight and attention to detail; Strong analytical, judgment and decision-making skills; Relevant training and/or certifications as a Sonographer"
Neuropsychologist job description,"Proven work experience as a Neuropsychologist or similar role; A license and certification to practice neuropsychology; Experience working on a research team conducting drug trials may be advantageous; A strong ability to work in research and clinical contexts; Strong analytical skills, attention to detail and ability to remain focused on the task at hand; Relevant training and/or certifications as a Neuropsychologist"
NICU Nurse job description,"Proven work experience as a NICU Nurse or similar role; Excellent written and verbal communication skills; The ability to offer emotional support to parents, guardians, and family members; Working knowledge of NICU specialized equipment; Expertise in working with a team; Exceptional ability to offer comfort to ill newborns; Relevant training and/or certifications as a NICU Nurse"
Orthodontist job description,"Proven work experience as an Orthodontist or similar role; In-depth knowledge of various molds and orthodontic appliances; Experience using hand tools (periodontal scalers, band pluggers, cutters, pliers) and diagnostic tools (digital X-rays, 3D images); Superb dexterity and hand-eye coordination; Outstanding patient management abilities; Excellent communication and interpersonal skills; Relevant training and/or certifications as an Orthodontist"
Nurse Manager job description,Proven work experience as a Nurse Manager or similar role; Excellent verbal and written communication; Strong attention to detail; Ability to work with a variety of health care professionals and patients; Extensive clinical skills for specific units; Ability to lead and motivate others; Relevant training and/or certifications as a Nurse Manager
Ophthalmologist Job Description,"Proven work experience as an Ophthalmologist or similar role; Expert working knowledge of the diseases, functions and anatomy of the eye; Strong physics and math skills with excellent medical knowledge; Good administrative and managerial abilities; Excellent hand-eye coordination; Relevant training and/or certifications as an Ophthalmologist"
OB-GYN job description,Proven work experience as an OB-GYN or similar role; Experience practicing medicine; Expert diagnostic skills; Trustworthy and compassionate character; Impeccable bedside manner; Strong communication skills; Relevant training and/or certifications as an OB-GYN
Mental Health Technician Job Description,Proven work experience as a Mental Health Technician or similar role; Ability to remain professional and respectful when assisting stressed patients; Ability to work flexible hours; A valid driver’s license and access to a vehicle would be beneficial; Relevant training and/or certifications as a Mental Health Technician
Pathologist Job Description,"Proven work experience as a Pathologist or similar role; Valid and active medical license; Experience using lab testing equipment, such as microscopes and flow cytometers; Exceptional analytical and research skills; Strong oral and written communication skills; Relevant training and/or certifications as a Pathologist"
ER Nurse Job Description,Proven work experience as an ER Nurse or similar role; Able to work under high-pressure; Attention to detail to quickly determine the medical needs of patients; Good organizational skills to ensure the ER has essential supplies; Excellent written and verbal communication; Relevant training and/or certifications as an ER Nurse
Coroner Job Description,Proven work experience as a Coroner or similar role; Knowledge of local laws and legal regulations; Excellent communication and interpersonal skills; Strong administration expertise; Expertise with computers; Analytical and detail-oriented; Relevant training and/or certifications as a Coroner
Chiropractor Job Description,"Proven work experience as a Chiropractor or similar role; Strong communication and active listening skills; Comprehensive knowledge of neuromusculoskeletal injuries, conditions, and treatments; Understanding of stretches, exercises, therapies and dietary changes that may help patients manage their overall health; Ability to analyze patient conditions based on observations and medical tests; A commitment to providing the best possible care; Relevant training and/or certifications as a Chiropractor"
Behavior Analyst Job Description,"Proven work experience as a Behavior Analyst or similar role; In-depth knowledge of and adherence to applicable ethical codes; Valid driver’s license with own transport is preferable; Knowledge of appropriate referral procedures; Excellent verbal and report writing skills; Calm, empathetic and patient demeanor; Ability to remain composed and adherent to best practices, even when under duress; Relevant training and/or certifications as a Behavior Analyst"
Charge Nurse Job Description,"Proven work experience as a Charge Nurse or similar role; Excellent leadership, communication and organizational skills; Compassionate with sound judgment and problem-solving; Proficient in Microsoft Office and medical software systems; Ability to handle stress and long shifts; Relevant training and/or certifications as a Charge Nurse"
Pediatric Nurse Job Description,"Proven work experience as a Pediatric Nurse or similar role; A bachelor’s or associate’s degree in nursing; Experience in clinical work as a pediatric nurse; Good communication skills; Emotional and mental strength, dedication and self-motivation; Empathy and the ability to relate to children; Relevant training and/or certifications as a Pediatric Nurse"
Patient Coordinator Job Description,Proven work experience as a Patient Coordinator or similar role; Superb verbal and written communication skills to share updates with patients and other medical staff; Computer skills and proficiency in Microsoft Office; Strong analytical thinking and the ability to handle multiple tasks concurrently; Excellent customer service skills to provide ongoing support for patients and their families; Relevant training and/or certifications as a Patient Coordinator
Community Health Worker Job Description,Proven work experience as a Community Health Worker or similar role; Experience working with people of different cultures and socio-economic backgrounds; Understanding of the healthcare system and how to help patients find necessary resources; A bachelor’s degree in social work or a related field is preferred
